episode,flow_id,src,dst,throughput_mbps,rtt_ms,jitter_ms,loss_pct,absolute_reward
48,e48-h4-h9-g3,h4,h9,12.1,60.729,0.111,0.13,-0.106624
49,e49-h1-h12-g0,h1,h12,10.8,60.122,0.076,0.14,-0.10806363636363638
49,e49-h2-h11-g1,h2,h11,26.3,68.034,0.073,1.1,-0.14368781818181817
49,e49-h3-h10-g2,h3,h10,33.9,68.616,0.067,1.3,-0.14099763636363638
49,e49-h4-h9-g3,h4,h9,23.3,56.3715,0.082,0.14,-0.07787136363636363
50,e50-h1-h12-g0,h1,h12,18.4,56.725,0.098,0.22,-0.09158345454545454
50,e50-h2-h11-g1,h2,h11,58.4,54.098,0.078,0.11,-0.007982181818181817
50,e50-h3-h10-g2,h3,h10,18.0,57.3425,0.11,0.17,-0.09111772727272727
50,e50-h4-h9-g3,h4,h9,33.0,65.8075,0.068,1.3,-0.137023
51,e51-h1-h12-g0,h1,h12,14.3,58.454499999999996,0.1,0.13,-0.098009
51,e51-h2-h11-g1,h2,h11,25.0,59.331,0.137,0.1,-0.07902945454545453
51,e51-h3-h10-g2,h3,h10,16.1,76.541,0.068,0.55,-0.15171727272727273
51,e51-h4-h9-g3,h4,h9,15.3,56.196,0.073,0.095,-0.08976181818181816
52,e52-h1-h12-g0,h1,h12,12.3,61.346000000000004,0.152,0.11,-0.10674036363636363
52,e52-h2-h11-g1,h2,h11,26.9,65.887,0.067,0.88,-0.1272669090909091
52,e52-h3-h10-g2,h3,h10,47.1,77.57499999999999,0.067,2.0,-0.1699156363636363
52,e52-h4-h9-g3,h4,h9,23.3,55.702,0.083,0.079,-0.07348836363636362
53,e53-h1-h12-g0,h1,h12,19.0,61.8545,0.067,0.72,-0.12556554545454546
53,e53-h2-h11-g1,h2,h11,50.5,103.1635,0.231,2.2,-0.22589481818181817
53,e53-h3-h10-g2,h3,h10,19.9,77.50450000000001,0.071,0.65,-0.15175318181818181
53,e53-h4-h9-g3,h4,h9,61.0,112.7835,0.068,2.5,-0.2400659090909091
54,e54-h1-h12-g0,h1,h12,11.8,59.7325,0.099,0.12,-0.10460445454545453
54,e54-h2-h11-g1,h2,h11,13.6,58.662000000000006,0.102,0.12,-0.0992087272727273
54,e54-h3-h10-g2,h3,h10,33.8,67.613,0.067,1.4,-0.14417345454545452
54,e54-h4-h9-g3,h4,h9,32.2,64.6375,0.067,1.1,-0.12613154545454547
55,e55-h1-h12-g0,h1,h12,19.5,61.1715,0.068,0.7,-0.12229645454545454
55,e55-h2-h11-g1,h2,h11,26.7,64.11099999999999,0.068,1.0,-0.13008454545454542
55,e55-h3-h10-g2,h3,h10,10.4,60.707499999999996,0.119,0.13,-0.10971990909090908
55,e55-h4-h9-g3,h4,h9,39.8,74.2165,0.073,1.6,-0.15650736363636364
56,e56-h1-h12-g0,h1,h12,48.3,55.1455,0.132,0.12,-0.02926481818181819
56,e56-h2-h11-g1,h2,h11,28.3,63.548,0.0,0.0,-0.07564145454545454
