episode,flow_id,src,dst,throughput_mbps,rtt_ms,jitter_ms,loss_pct,absolute_reward
91,e91-h2-h15-g1,h2,h15,7.76,84.1055,0.155,0.1,-0.03518385555555555
92,e92-h1-h16-g0,h1,h16,15.1,86.3955,0.083,0.6,-0.027530744444444442
92,e92-h2-h15-g1,h2,h15,12.8,91.179,0.085,0.45,-0.03326795555555555
93,e93-h1-h16-g0,h1,h16,26.9,105.89500000000001,0.083,1.3,-0.02350822222222222
93,e93-h2-h15-g1,h2,h15,8.13,97.791,0.358,0.14,-0.04378193333333333
94,e94-h1-h16-g0,h1,h16,10.4,83.224,0.115,0.084,-0.028428288888888896
94,e94-h2-h15-g1,h2,h15,20.4,90.2385,0.087,0.84,-0.02167076666666666
95,e95-h1-h16-g0,h1,h16,16.4,83.19,0.08,0.7,-0.02420955555555556
95,e95-h2-h15-g1,h2,h15,18.0,78.596,0.131,0.089,-0.0088856
96,e96-h1-h16-g0,h1,h16,16.1,87.75450000000001,0.086,0.68,-0.027332922222222222
96,e96-h2-h15-g1,h2,h15,17.6,78.785,0.108,0.088,-0.009803888888888876
97,e97-h1-h16-g0,h1,h16,11.5,82.77250000000001,0.139,0.091,-0.025889944444444455
97,e97-h2-h15-g1,h2,h15,22.2,87.264,0.082,1.0,-0.01827106666666665
98,e98-h1-h16-g0,h1,h16,8.36,79.6185,0.121,0.09,-0.03090632222222222
98,e98-h2-h15-g1,h2,h15,16.6,84.9505,0.166,0.071,-0.01564441111111111
99,e99-h1-h16-g0,h1,h16,17.8,77.4815,0.125,0.099,-0.008793344444444434
99,e99-h2-h15-g1,h2,h15,15.1,84.805,0.08,0.59,-0.02641744444444445
100,e100-h1-h16-g0,h1,h16,25.7,86.7215,0.079,1.2,-0.013158788888888887
100,e100-h2-h15-g1,h2,h15,13.2,84.39949999999999,0.079,0.5,-0.029043366666666653
101,e101-h1-h16-g0,h1,h16,21.9,96.28999999999999,0.082,0.82,-0.02165333333333332
101,e101-h2-h15-g1,h2,h15,12.1,85.6935,0.214,0.085,-0.02644421111111111
102,e102-h1-h16-g0,h1,h16,20.3,86.05850000000001,0.0,0.0,-0.0065239888888888806
102,e102-h2-h15-g1,h2,h15,11.8,83.23,0.17,0.098,-0.02569577777777777
103,e103-h1-h16-g0,h1,h16,7.81,82.2215,0.125,0.085,-0.03362734444444444
103,e103-h2-h15-g1,h2,h15,8.54,86.7045,0.192,0.084,-0.034880922222222215
104,e104-h1-h16-g0,h1,h16,11.5,79.144,0.124,0.097,-0.023757844444444454
104,e104-h2-h15-g1,h2,h15,11.1,85.6965,0.219,0.12,-0.029208233333333326
