episode,flow_id,src_x,dst_x,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean,src_y,dst_y,controller_weighted_reward,computed_weighted_reward
34,e34-h1-h4-g2,h1,h4,2026-05-28 09:08:37.549241+00:00,9.93,22.7825,0.12,0.84,-0.197,100,-0.1986,h1,h4,-0.197,-0.022657499999999997
34,e34-h2-h4-g1,h2,h4,2026-05-28 09:08:37.550081+00:00,4.98,28.648500000000002,0.221,0.75,-0.164,101,-0.1972,h2,h4,-0.164,-0.027110099999999998
34,e34-h1-h5-g0,h1,h5,2026-05-28 09:08:37.551084+00:00,4.48,24.741500000000002,0.114,0.67,-0.168,102,-0.19605,h1,h5,-0.168,-0.0234449
35,e35-h1-h4-g2,h1,h4,2026-05-28 09:09:11.165100+00:00,6.28,23.1815,0.115,1.1,-0.18,103,-0.19625,h1,h4,-0.18,-0.0282419
35,e35-h1-h5-g0,h1,h5,2026-05-28 09:09:11.165775+00:00,8.94,24.7485,0.113,0.86,-0.191,104,-0.19724999999999998,h1,h5,-0.191,-0.024512099999999995
35,e35-h2-h4-g1,h2,h4,2026-05-28 09:09:11.166416+00:00,4.28,23.564999999999998,0.126,0.63,-0.16,105,-0.19465000000000002,h2,h4,-0.16,-0.022254999999999997
36,e36-h2-h4-g1,h2,h4,2026-05-28 09:09:45.559962+00:00,7.51,53.036,0.12,1.2,-0.421,106,-0.20625,h2,h4,-0.421,-0.0471776
36,e36-h1-h4-g2,h1,h4,2026-05-28 09:09:45.560930+00:00,8.32,64.688,0.13,0.88,-0.518,107,-0.22425,h1,h4,-0.518,-0.049074799999999995
36,e36-h1-h5-g0,h1,h5,2026-05-28 09:09:45.562509+00:00,3.37,78.20400000000001,1.078,1.0,-0.529,108,-0.2425,h1,h5,-0.529,-0.0638084
37,e37-h1-h5-g0,h1,h5,2026-05-28 09:10:17.642059+00:00,3.8,25.167,0.129,0.65,-0.161,109,-0.24255,h1,h5,-0.161,-0.0237172
37,e37-h1-h4-g2,h1,h4,2026-05-28 09:10:17.643197+00:00,4.04,22.261000000000003,0.119,0.99,-0.178,110,-0.24290000000000003,h1,h4,-0.178,-0.026947600000000002
37,e37-h2-h4-g1,h2,h4,2026-05-28 09:10:18.952775+00:00,3.52,22.475,0.118,0.71,-0.174,111,-0.2332,h2,h4,-0.174,-0.023080999999999997
38,e38-h2-h4-g1,h2,h4,2026-05-28 09:10:53.243642+00:00,5.26,24.5985,0.13,0.68,-0.164,112,-0.23184999999999997,h2,h4,-0.164,-0.0232451
38,e38-h1-h4-g2,h1,h4,2026-05-28 09:10:53.244543+00:00,6.31,22.9985,0.117,1.1,-0.196,113,-0.22335000000000002,h1,h4,-0.196,-0.0281261
38,e38-h1-h5-g0,h1,h5,2026-05-28 09:10:53.245526+00:00,8.98,22.3705,0.113,0.94,-0.174,114,-0.22075,h1,h5,-0.174,-0.0242693
39,e39-h2-h4-g1,h2,h4,2026-05-28 09:11:24.776846+00:00,3.78,21.2505,0.121,1.0,-0.178,115,-0.22064999999999996,h2,h4,-0.178,-0.0266013
39,e39-h1-h5-g0,h1,h5,2026-05-28 09:11:25.445036+00:00,3.84,27.1085,0.133,0.63,-0.168,116,-0.22105000000000002,h1,h5,-0.168,-0.024578100000000002
39,e39-h1-h4-g2,h1,h4,2026-05-28 09:11:26.052712+00:00,5.07,21.3335,0.108,0.69,-0.157,117,-0.22085,h1,h4,-0.157,-0.021446099999999996
40,e40-h1-h4-g2,h1,h4,2026-05-28 09:11:58.975887+00:00,5.7,23.740000000000002,0.121,1.1,-0.215,118,-0.2234,h1,h4,-0.215,-0.028827
40,e40-h1-h5-g0,h1,h5,2026-05-28 09:11:58.986726+00:00,3.72,21.75,0.122,0.64,-0.171,119,-0.2232,h1,h5,-0.171,-0.021528
40,e40-h2-h4-g1,h2,h4,2026-05-28 09:11:59.347032+00:00,3.72,24.735,0.13,0.74,-0.174,120,-0.22205000000000003,h2,h4,-0.174,-0.024842999999999997
41,e41-h1-h4-g2,h1,h4,2026-05-28 09:12:32.712865+00:00,7.05,60.0295,0.593,1.2,-0.458,121,-0.23674999999999996,h1,h4,-0.458,-0.0529767
41,e41-h1-h5-g0,h1,h5,2026-05-28 09:12:32.713133+00:00,3.76,25.3595,0.12,0.7,-0.222,122,-0.23945,h1,h5,-0.222,-0.024571699999999995
41,e41-h2-h4-g1,h2,h4,2026-05-28 09:12:32.928969+00:00,3.66,22.403,0.119,0.7,-0.165,123,-0.2387,h2,h4,-0.165,-0.022834799999999995
42,e42-h1-h4-g2,h1,h4,2026-05-28 09:13:06.744772+00:00,3.74,24.27,0.119,0.84,-0.162,124,-0.23725000000000002,h1,h4,-0.162,-0.026022999999999998
42,e42-h2-h4-g1,h2,h4,2026-05-28 09:13:06.745013+00:00,3.98,26.813000000000002,0.123,1.1,-0.19,125,-0.23875000000000002,h2,h4,-0.19,-0.031364800000000005
42,e42-h1-h5-g0,h1,h5,2026-05-28 09:13:06.745268+00:00,7.41,24.137,0.115,0.85,-0.21,126,-0.22820000000000001,h1,h5,-0.21,-0.0246132
43,e43-h1-h5-g0,h1,h5,2026-05-28 09:13:40.805009+00:00,4.55,23.8445,0.114,0.86,-0.199,127,-0.21225,h1,h5,-0.199,-0.0257287
43,e43-h2-h4-g1,h2,h4,2026-05-28 09:13:40.805849+00:00,8.72,23.9925,0.121,1.1,-0.214,128,-0.1965,h2,h4,-0.214,-0.0277705
43,e43-h1-h4-g2,h1,h4,2026-05-28 09:13:40.806584+00:00,8.96,22.506999999999998,0.117,1.2,-0.183,129,-0.1976,h1,h4,-0.183,-0.028271199999999996
44,e44-h1-h5-g0,h1,h5,2026-05-28 09:14:15.620160+00:00,5.32,21.813499999999998,0.112,1.2,-0.189,130,-0.19815,h1,h5,-0.189,-0.029296099999999995
44,e44-h2-h4-g1,h2,h4,2026-05-28 09:14:15.621063+00:00,5.58,23.705,0.119,0.66,-0.169,131,-0.19790000000000002,h2,h4,-0.169,-0.022247999999999997
44,e44-h1-h4-g2,h1,h4,2026-05-28 09:14:15.621762+00:00,10.4,23.7865,0.117,1.0,-0.175,132,-0.19845,h1,h4,-0.175,-0.0254629
45,e45-h1-h4-g2,h1,h4,2026-05-28 09:14:51.034713+00:00,3.99,23.0975,0.117,0.75,-0.168,133,-0.19705,h1,h4,-0.168,-0.0238635
45,e45-h2-h4-g1,h2,h4,2026-05-28 09:14:51.035059+00:00,4.38,22.7665,0.111,0.76,-0.175,134,-0.1971,h2,h4,-0.175,-0.0236409
45,e45-h1-h5-g0,h1,h5,2026-05-28 09:14:51.035383+00:00,12.5,23.3125,0.113,1.0,-0.199,135,-0.19815,h1,h5,-0.199,-0.0243265
46,e46-h2-h4-g1,h2,h4,2026-05-28 09:15:24.029104+00:00,6.45,23.537,0.119,1.1,-0.195,136,-0.1995,h2,h4,-0.195,-0.0283992
46,e46-h1-h4-g2,h1,h4,2026-05-28 09:15:33.354083+00:00,0.028,21.378999999999998,0.076,36.0,-0.448,137,-0.21405000000000002,h1,h4,-0.448,-0.1630442
46,e46-h1-h5-g0,h1,h5,2026-05-28 09:15:33.354842+00:00,2.79,24.784,0.061,60.0,-0.452,138,-0.22590000000000005,h1,h5,-0.452,-0.16393739999999998
47,e47-h1-h5-g0,h1,h5,2026-05-28 09:16:07.602768+00:00,6.83,30.127000000000002,0.126,0.97,-0.23,139,-0.22885,h1,h5,-0.23,-0.030272200000000003
47,e47-h2-h4-g1,h2,h4,2026-05-28 09:16:07.604375+00:00,4.32,22.641,0.115,1.2,-0.187,140,-0.22949999999999998,h2,h4,-0.187,-0.030201599999999995
47,e47-h1-h4-g2,h1,h4,2026-05-28 09:16:07.604983+00:00,10.5,22.3055,0.115,0.91,-0.183,141,-0.21575000000000003,h1,h4,-0.183,-0.0231783
48,e48-h1-h4-g2,h1,h4,2026-05-28 09:16:41.733060+00:00,9.41,22.927500000000002,0.117,1.1,-0.178,142,-0.21355,h1,h4,-0.178,-0.026843500000000003
48,e48-h2-h4-g1,h2,h4,2026-05-28 09:16:41.733667+00:00,4.24,24.174999999999997,0.122,0.7,-0.16,143,-0.2133,h2,h4,-0.16,-0.023674999999999998
48,e48-h1-h5-g0,h1,h5,2026-05-28 09:16:41.813147+00:00,6.14,24.3545,0.127,0.61,-0.154,144,-0.2129,h1,h5,-0.154,-0.021687699999999997
49,e49-h1-h5-g0,h1,h5,2026-05-28 09:17:21.014097+00:00,6.18,28.518,0.059,63.0,-0.484,145,-0.22759999999999997,h1,h5,-0.484,-0.16481579999999998
49,e49-h1-h4-g2,h1,h4,2026-05-28 09:17:21.014499+00:00,0.305,23.402,0.084,34.0,-0.471,146,-0.24064999999999998,h1,h4,-0.471,-0.1641712
