state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.185,-0.185,-0.208,-0.036,-0.069,6,180
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.181,-0.181,-0.232,-0.068,-0.093,4,181
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.181,-0.181,-0.232,-0.068,-0.093,4,182
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.233,-0.233,-0.208,-0.123,-0.147,7,183
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.233,-0.233,-0.208,-0.123,-0.147,7,184
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss1')",3,-0.173,-0.173,-0.207,0.0,-0.038,2,185
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss1')",3,-0.173,-0.173,-0.207,0.0,-0.038,2,186
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.198,-0.198,-0.208,-0.147,-0.158,10,187
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.198,-0.198,-0.208,-0.147,-0.158,10,188
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.166,-0.166,-0.23,-0.069,-0.09,4,189
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.166,-0.166,-0.23,-0.069,-0.09,4,190
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.169,-0.169,-0.205,-0.099,-0.115,8,191
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.169,-0.169,-0.205,-0.099,-0.115,8,192
"('h1', 'h4', 'util0', 'active1', 'rtt0', 'loss1')",3,-0.209,-0.209,-0.229,0.0,-0.046,5,193
"('h4', 'h1', 'util0', 'active1', 'rtt0', 'loss1')",3,-0.209,-0.209,-0.229,0.0,-0.046,5,194
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.246,-0.246,-0.209,-0.147,-0.169,9,195
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.246,-0.246,-0.209,-0.147,-0.169,9,196
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.172,-0.172,-0.227,-0.057,-0.083,5,197
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.172,-0.172,-0.227,-0.057,-0.083,5,198
"('h1', 'h5', 'util3', 'active1', 'rtt0', 'loss2')",3,-0.18,-0.18,-0.208,-0.04,-0.07,3,199
"('h5', 'h1', 'util3', 'active1', 'rtt0', 'loss2')",3,-0.18,-0.18,-0.208,-0.04,-0.07,3,200
"('h2', 'h4', 'util3', 'active1', 'rtt0', 'loss1')",3,-0.276,-0.276,-0.208,-0.07,-0.115,4,201
"('h4', 'h2', 'util3', 'active1', 'rtt0', 'loss1')",3,-0.276,-0.276,-0.208,-0.07,-0.115,4,202
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss2')",3,-0.186,-0.186,-0.207,-0.041,-0.073,3,203
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss2')",3,-0.186,-0.186,-0.207,-0.041,-0.073,3,204
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.17,-0.17,-0.207,-0.162,-0.163,14,205
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.17,-0.17,-0.207,-0.162,-0.163,14,206
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.278,-0.278,-0.21,0.0,-0.061,5,207
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.278,-0.278,-0.21,0.0,-0.061,5,208
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss6')",3,-0.276,-0.276,-0.229,0.0,-0.061,1,209
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss6')",3,-0.276,-0.276,-0.229,0.0,-0.061,1,210
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.2,-0.2,-0.21,-0.042,-0.077,5,211
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.2,-0.2,-0.21,-0.042,-0.077,5,212
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss2')",4,-0.194,-0.194,-0.206,0.0,-0.043,4,213
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss2')",4,-0.194,-0.194,-0.206,0.0,-0.043,4,214
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.199,-0.199,-0.206,-0.123,-0.14,5,215
