state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h4', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.099,0.054,-0.12,0.021,0.028,3,132
"('h1', 'h4', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.128,-0.128,-0.12,-0.027,-0.05,2,133
"('h4', 'h1', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.128,-0.128,-0.12,-0.027,-0.05,2,134
"('h1', 'h5', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.133,-0.133,-0.12,-0.027,-0.05,4,135
"('h5', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.133,-0.133,-0.12,-0.027,-0.05,4,136
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.112,0.021,-0.12,0.04,0.035,10,137
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.112,0.021,-0.12,0.04,0.035,10,138
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.094,0.066,-0.119,0.028,0.036,6,139
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.094,0.066,-0.119,0.028,0.036,6,140
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.094,0.065,-0.119,0.016,0.027,5,141
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.094,0.065,-0.119,0.016,0.027,5,142
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.114,0.013,-0.119,-0.022,-0.014,15,143
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.114,0.013,-0.119,-0.022,-0.014,15,144
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.128,-0.128,-0.12,0.0,-0.028,6,145
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.128,-0.128,-0.12,0.0,-0.028,6,146
"('h1', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.131,-0.131,-0.119,0.009,-0.022,7,147
"('h4', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.131,-0.131,-0.119,0.009,-0.022,7,148
"('h2', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.092,0.068,-0.118,0.036,0.043,10,149
"('h4', 'h2', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.092,0.068,-0.118,0.036,0.043,10,150
"('h1', 'h5', 'util1', 'active1', 'rtt0', 'loss0')",4,-0.113,0.016,-0.119,0.0,0.004,4,151
"('h5', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",4,-0.113,0.016,-0.119,0.0,0.004,4,152
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.097,0.057,-0.119,0.013,0.022,9,153
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.097,0.057,-0.119,0.013,0.022,9,154
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.122,-0.122,-0.119,-0.03,-0.051,4,155
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.122,-0.122,-0.119,-0.03,-0.051,4,156
"('h2', 'h4', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.101,0.041,-0.117,0.018,0.023,4,157
"('h4', 'h2', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.101,0.041,-0.117,0.018,0.023,4,158
"('h2', 'h4', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.111,0.014,-0.117,0.0,0.003,2,159
"('h4', 'h2', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.111,0.014,-0.117,0.0,0.003,2,160
"('h1', 'h5', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.121,-0.121,-0.119,-0.028,-0.048,6,161
