episode,flow_id,src_x,dst_x,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean,src_y,dst_y,controller_weighted_reward,computed_weighted_reward
42,e42-h2-h4-g1,h2,h4,2026-05-27 14:11:05.269757+00:00,95.4,27.0185,0.017,0.023,-0.054,125,-0.06539999999999999,h2,h4,-0.054,-0.0182025
42,e42-h1-h5-g0,h1,h5,2026-05-27 14:11:37.156819+00:00,95.3,27.9195,0.034,0.035,-0.071,126,-0.06545000000000001,h1,h5,-0.071,-0.019507499999999997
43,e43-h1-h5-g0,h1,h5,2026-05-27 14:13:44.441764+00:00,95.3,27.171,0.015,0.018,-0.061,127,-0.06555,h1,h5,-0.061,-0.018210999999999998
43,e43-h2-h4-g1,h2,h4,2026-05-27 14:14:16.514788+00:00,95.4,26.995,0.03,0.044,-0.067,128,-0.0655,h2,h4,-0.067,-0.018834999999999998
43,e43-h1-h4-g2,h1,h4,2026-05-27 14:14:48.873203+00:00,95.4,37.093500000000006,0.029,0.039,-0.051,129,-0.0653,h1,h4,-0.051,-0.02878150000000001
44,e44-h1-h5-g0,h1,h5,2026-05-27 14:16:56.933158+00:00,95.4,39.711,0.021,0.03,-0.065,130,-0.0659,h1,h5,-0.065,-0.031113
44,e44-h2-h4-g1,h2,h4,2026-05-27 14:17:29.592538+00:00,95.4,27.7125,0.026,0.038,-0.055,131,-0.06584999999999999,h2,h4,-0.055,-0.019364499999999993
44,e44-h1-h4-g2,h1,h4,2026-05-27 14:18:02.411520+00:00,95.4,40.4085,0.025,0.038,-0.069,132,-0.06670000000000001,h1,h4,-0.069,-0.032058500000000004
45,e45-h1-h4-g2,h1,h4,2026-05-27 14:20:10.885572+00:00,95.4,26.262,0.014,0.02,-0.051,133,-0.0657,h1,h4,-0.051,-0.01735
45,e45-h2-h4-g1,h2,h4,2026-05-27 14:20:43.849227+00:00,95.4,41.828500000000005,0.035,0.047,-0.121,134,-0.06805,h2,h4,-0.121,-0.03376850000000001
45,e45-h1-h5-g0,h1,h5,2026-05-27 14:21:16.279145+00:00,95.3,28.3465,0.042,0.049,-0.073,135,-0.06899999999999999,h1,h5,-0.073,-0.0203705
46,e46-h2-h4-g1,h2,h4,2026-05-27 14:23:22.660523+00:00,95.4,38.0065,0.026,0.037,-0.052,136,-0.06865,h2,h4,-0.052,-0.029628500000000006
46,e46-h1-h4-g2,h1,h4,2026-05-27 14:23:55.732434+00:00,95.3,29.3365,0.042,0.041,-0.056,137,-0.0662,h1,h4,-0.056,-0.0211205
46,e46-h1-h5-g0,h1,h5,2026-05-27 14:24:27.330108+00:00,95.4,38.572,0.017,0.022,-0.11,138,-0.068,h1,h5,-0.11,-0.029726000000000002
47,e47-h1-h5-g0,h1,h5,2026-05-27 14:26:03.761158+00:00,95.3,28.2075,0.03,0.034,-0.07,139,-0.06875,h1,h5,-0.07,-0.0197575
47,e47-h2-h4-g1,h2,h4,2026-05-27 14:27:07.787927+00:00,95.4,27.7035,0.028,0.039,-0.067,140,-0.0694,h2,h4,-0.067,-0.0193895
47,e47-h1-h4-g2,h1,h4,2026-05-27 14:27:39.538613+00:00,95.3,31.543999999999997,0.087,0.091,-0.088,141,-0.0705,h1,h4,-0.088,-0.024917999999999996
48,e48-h1-h4-g2,h1,h4,2026-05-27 14:29:48.617522+00:00,95.3,27.9835,0.024,0.034,-0.065,142,-0.0712,h1,h4,-0.065,-0.019521499999999997
48,e48-h2-h4-g1,h2,h4,2026-05-27 14:30:20.979618+00:00,95.4,26.735,0.017,0.026,-0.055,143,-0.07115,h2,h4,-0.055,-0.018008999999999994
48,e48-h1-h5-g0,h1,h5,2026-05-27 14:30:54.167550+00:00,95.3,29.369,0.029,0.038,-0.062,144,-0.06814999999999999,h1,h5,-0.062,-0.021036999999999997
49,e49-h1-h5-g0,h1,h5,2026-05-27 14:33:03.125180+00:00,95.3,26.380000000000003,0.014,0.013,-0.058,145,-0.06835,h1,h5,-0.058,-0.017268000000000006
49,e49-h1-h4-g2,h1,h4,2026-05-27 14:33:34.595598+00:00,95.4,37.229,0.014,0.018,-0.057,146,-0.06765,h1,h4,-0.057,-0.028256999999999997
49,e49-h2-h4-g1,h2,h4,2026-05-27 14:34:07.036392+00:00,95.4,28.751,0.034,0.047,-0.071,147,-0.06815,h2,h4,-0.071,-0.020689
50,e50-h1-h4-g2,h1,h4,2026-05-27 14:35:09.579616+00:00,95.4,28.325000000000003,0.033,0.043,-0.055,148,-0.06755,h1,h4,-0.055,-0.020141000000000003
