state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h1', 'h12', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.006,0.757,-0.243,0.372,0.487,8,177
"('h12', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.006,0.757,-0.243,0.372,0.487,8,178
"('h2', 'h11', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.501,-0.501,-0.269,0.151,-0.044,3,179
"('h11', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.501,-0.501,-0.269,0.151,-0.044,3,180
"('h2', 'h11', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.006,0.788,-0.253,0.0,0.236,2,181
"('h11', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.006,0.788,-0.253,0.0,0.236,2,182
"('h1', 'h12', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.007,0.709,-0.229,0.487,0.554,9,183
"('h12', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.007,0.709,-0.229,0.487,0.554,9,184
"('h4', 'h9', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.002,0.03,-0.012,0.069,0.057,7,185
"('h9', 'h4', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.002,0.03,-0.012,0.069,0.057,7,186
"('h2', 'h11', 'util3', 'active0', 'rtt0', 'loss0')",3,0.009,0.786,-0.237,0.0,0.236,1,187
"('h11', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,0.009,0.786,-0.237,0.0,0.236,1,188
"('h4', 'h9', 'util3', 'active0', 'rtt0', 'loss0')",3,0.007,0.055,-0.01,0.053,0.053,13,189
"('h9', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,0.007,0.055,-0.01,0.053,0.053,13,190
"('h1', 'h12', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.01,0.658,-0.216,0.554,0.585,10,191
