state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.162,-0.162,-0.149,-0.06,-0.082,8,167
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.162,-0.162,-0.149,-0.06,-0.082,8,168
"('h2', 'h4', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.125,-0.125,-0.15,0.0,-0.027,4,169
"('h4', 'h2', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.125,-0.125,-0.15,0.0,-0.027,4,170
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.122,-0.122,-0.148,-0.081,-0.09,10,171
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.122,-0.122,-0.148,-0.081,-0.09,10,172
"('h1', 'h5', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.16,-0.16,-0.148,-0.036,-0.063,3,173
"('h5', 'h1', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.16,-0.16,-0.148,-0.036,-0.063,3,174
"('h1', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.16,-0.16,-0.155,-0.059,-0.081,6,175
"('h4', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.16,-0.16,-0.155,-0.059,-0.081,6,176
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.122,-0.122,-0.154,-0.089,-0.096,8,177
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.122,-0.122,-0.154,-0.089,-0.096,8,178
"('h2', 'h4', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.125,-0.125,-0.149,-0.028,-0.049,7,179
"('h4', 'h2', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.125,-0.125,-0.149,-0.028,-0.049,7,180
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.142,-0.142,-0.148,-0.05,-0.07,5,181
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.142,-0.142,-0.148,-0.05,-0.07,5,182
"('h1', 'h5', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.168,-0.168,-0.149,-0.067,-0.089,6,183
"('h5', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.168,-0.168,-0.149,-0.067,-0.089,6,184
"('h1', 'h4', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.124,-0.124,-0.153,0.0,-0.027,5,185
"('h4', 'h1', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.124,-0.124,-0.153,0.0,-0.027,5,186
